id,question_id,option_text,is_correct,option_order
38,12,applying adult aesthetic criteria to pre-schematic child artwork,0,3
39,12,uncritical adoption of imported pedagogical frameworks without contextual indigenisation,0,4
40,13,compartmentalization of artistic disciplines,0,1
41,13,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within language arts,1,2
42,13,suppression of indigenous creative impulse,0,3
43,13,performative contradiction between espoused learner-centred theory and enacted teacher-centred practice,0,4
44,14,mediating the dialectical relationship between integrity and the structured articulation of curricular outcomes,1,1
45,14,conflating Piaget's sensorimotor schema with formal operational art production,0,2
46,14,performative contradiction between espoused learner-centred theory and enacted teacher-centred practice,0,3
47,15,hermeneutic circularity in interpreting student creative artefacts,0,1
48,15,uncritical perpetuation of hegemonic curricular paradigms,0,2
49,15,"the socially constructed, context-dependent operationalisation of holistic development within formal educational environments",1,3
50,15,circumventing Lowenfeld's developmental stage theory through direct instruction,0,4
51,16,negating the role of cultural memory in creative pedagogy,0,1
52,16,stimulating deeper critical engagement with 1969 curriculum conference as a transformative pedagogical force within art education,1,2
53,16,intersubjective negotiation of aesthetic criteria in formative assessment,0,3
54,16,hermeneutic circularity in interpreting student creative artefacts,0,4
55,17,de-emphasizing affective dimensions of learning,0,1
56,17,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,2
57,17,axiomatic privileging of convergent over divergent cognitive operations,0,3
58,17,semiotic disambiguation of culturally encoded representational schemas,0,4
59,18,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within Piaget,1,1
60,18,rote reproduction of Western canonical forms,0,2
61,18,suppression of indigenous creative impulse,0,3
62,19,conflating Piaget's sensorimotor schema with formal operational art production,0,1
63,19,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,2
64,19,intersubjective negotiation of aesthetic criteria in formative assessment,0,3
65,19,epistemic humility in cross-cultural pedagogical knowledge transfer,0,4
66,20,epistemic humility in cross-cultural pedagogical knowledge transfer,0,1
67,20,hermeneutic circularity in interpreting student creative artefacts,0,2
68,20,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within integration,1,3
69,20,aesthetic self-expression divorced from social utility,0,4
70,21,privileging mimetic fidelity over expressive authenticity in child art,0,1
71,21,the systematic interrogation and critical repositioning of integrity within broader disciplinary epistemologies,1,2
72,21,aesthetic self-expression divorced from social utility,0,3
73,21,axiomatic privileging of convergent over divergent cognitive operations,0,4
74,22,aesthetic self-expression divorced from social utility,0,1
75,22,the systematic interrogation and critical repositioning of holistic development within broader disciplinary epistemologies,1,2
76,22,dialectical synthesis of opposing pedagogical epistemologies,0,3
77,23,circumventing Lowenfeld's developmental stage theory through direct instruction,0,1
78,23,mediating the dialectical relationship between 1969 curriculum conference and the structured articulation of curricular outcomes,1,2
79,23,reduction of art to vocational craft training,0,3
80,23,uncritical perpetuation of hegemonic curricular paradigms,0,4
81,24,normative conflation of cultural literacy with disciplinary content mastery,0,1
82,24,stimulating deeper critical engagement with National Policy on Education as a transformative pedagogical force within art education,1,2
83,24,treating the scribbling stage as evidence of cognitive deficiency,0,3
84,25,elimination of cross-disciplinary discourse,0,1
85,25,the historically situated socio-political contestation surrounding the emergence and institutionalization of stages of artistic development,1,2
86,25,enforcing normative aesthetic standards without critique,0,3
87,25,ontological reduction of creative praxis to instrumental rationality,0,4
88,26,False,1,1
89,26,True,0,2
90,27,the systematic interrogation and critical repositioning of integration within broader disciplinary epistemologies,1,1
91,27,suppression of indigenous creative impulse,0,2
92,27,dispositional alignment between instructional modality and learning ecology,0,3
93,27,axiomatic privileging of convergent over divergent cognitive operations,0,4
94,28,asymmetric power relations embedded in conventional teacher-student assessment contracts,0,1
95,28,rote reproduction of Western canonical forms,0,2
96,28,hierarchical imposition of formal technique,0,3
97,28,mediating the dialectical relationship between professionalism and the structured articulation of curricular outcomes,1,4
98,29,dispositional alignment between instructional modality and learning ecology,0,1
99,29,diachronic analysis of institutional constraints on artistic development,0,2
100,29,"the socially constructed, context-dependent operationalisation of visual arts within formal educational environments",1,3
101,30,diachronic analysis of institutional constraints on artistic development,0,1
102,30,applying adult aesthetic criteria to pre-schematic child artwork,0,2
103,30,reification of epistemic structures antithetical to transformative pedagogy,0,3
104,30,"the socially constructed, context-dependent operationalisation of colonial era within formal educational environments",1,4
105,31,de-emphasizing affective dimensions of learning,0,1
106,31,rote reproduction of Western canonical forms,0,2
107,31,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within creative thinking,1,3
108,32,privileging mimetic fidelity over expressive authenticity in child art,0,1
109,32,privileging product outcomes over creative process,0,2
110,32,the historically situated socio-political contestation surrounding the emergence and institutionalization of cognitive growth,1,3
111,32,passive absorption of Eurocentric art traditions,0,4
112,33,False,1,1
113,33,True,0,2
114,34,the historically situated socio-political contestation surrounding the emergence and institutionalization of STEAM,1,1
115,34,enforcing normative aesthetic standards without critique,0,2
116,34,passive absorption of Eurocentric art traditions,0,3
117,34,reproductive rather than transformative conception of the curriculum as knowledge container,0,4
118,35,circumventing Lowenfeld's developmental stage theory through direct instruction,0,1
119,35,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within confidentiality,1,2
120,35,performative contradiction between espoused learner-centred theory and enacted teacher-centred practice,0,3
121,36,False,1,1
122,36,True,0,2
123,37,aesthetic self-expression divorced from social utility,0,1
124,37,the systematic interrogation and critical repositioning of 1969 curriculum conference within broader disciplinary epistemologies,1,2
125,37,reification of epistemic structures antithetical to transformative pedagogy,0,3
126,37,conflating Piaget's sensorimotor schema with formal operational art production,0,4
127,38,hermeneutic circularity in interpreting student creative artefacts,0,1
128,38,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within creative thinking,1,2
129,38,restriction of artistic output to representational forms,0,3
130,39,uncritical adoption of imported pedagogical frameworks without contextual indigenisation,0,1
131,39,"the socially constructed, context-dependent operationalisation of Piaget within formal educational environments",1,2
132,39,hierarchical imposition of formal technique,0,3
133,39,reification of epistemic structures antithetical to transformative pedagogy,0,4
134,40,critical deconstruction of Eurocentric art-historical meta-narratives,0,1
135,40,ontological reduction of creative praxis to instrumental rationality,0,2
136,40,aesthetic self-expression divorced from social utility,0,3
137,40,the historically situated socio-political contestation surrounding the emergence and institutionalization of community values,1,4
138,41,hierarchical imposition of formal technique,0,1
139,41,subordinating art education to STEM imperatives,0,2
140,41,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,3
141,41,rote reproduction of Western canonical forms,0,4
142,42,False,1,1
143,42,True,0,2
144,43,treating artistic competence as innate rather than cultivated,0,1
145,43,dispositional alignment between instructional modality and learning ecology,0,2
146,43,asymmetric power relations embedded in conventional teacher-student assessment contracts,0,3
147,43,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within performing arts,1,4
148,44,the historically situated socio-political contestation surrounding the emergence and institutionalization of 1969 curriculum conference,1,1
149,44,privileging product outcomes over creative process,0,2
150,44,critical deconstruction of Eurocentric art-historical meta-narratives,0,3
151,44,semiotic disambiguation of culturally encoded representational schemas,0,4
152,45,phenomenological bracketing of prior aesthetic experience during instruction,0,1
153,45,de-emphasizing affective dimensions of learning,0,2
154,45,intersubjective negotiation of aesthetic criteria in formative assessment,0,3
155,45,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within cultural identity,1,4
156,46,diachronic analysis of institutional constraints on artistic development,0,1
157,46,rote reproduction of Western canonical forms,0,2
158,46,recursive metacognitive scaffolding within zones of proximal development,0,3
159,46,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,4
160,47,mediating the dialectical relationship between socialization and the structured articulation of curricular outcomes,1,1
161,47,reduction of art to vocational craft training,0,2
162,47,privileging mimetic fidelity over expressive authenticity in child art,0,3
163,48,semiotic disambiguation of culturally encoded representational schemas,0,1
164,48,phenomenological bracketing of prior aesthetic experience during instruction,0,2
165,48,mediating the dialectical relationship between interdisciplinary learning and the structured articulation of curricular outcomes,1,3
166,48,intersubjective negotiation of aesthetic criteria in formative assessment,0,4
167,49,uncritical adoption of imported pedagogical frameworks without contextual indigenisation,0,1
168,49,hermeneutic circularity in interpreting student creative artefacts,0,2
169,49,mediating the dialectical relationship between teacher-student boundaries and the structured articulation of curricular outcomes,1,3
170,49,reification of epistemic structures antithetical to transformative pedagogy,0,4
171,50,performative contradiction between espoused learner-centred theory and enacted teacher-centred practice,0,1
172,50,the historically situated socio-political contestation surrounding the emergence and institutionalization of holistic development,1,2
173,50,de-emphasizing affective dimensions of learning,0,3
174,50,hermeneutic circularity in interpreting student creative artefacts,0,4
175,51,hierarchical imposition of formal technique,0,1
176,51,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,2
177,51,rote reproduction of Western canonical forms,0,3
178,52,ontological reduction of creative praxis to instrumental rationality,0,1
179,52,critical deconstruction of Eurocentric art-historical meta-narratives,0,2
180,52,diachronic analysis of institutional constraints on artistic development,0,3
181,52,mediating the dialectical relationship between cultural identity and the structured articulation of curricular outcomes,1,4
182,53,compartmentalization of artistic disciplines,0,1
183,53,"the socially constructed, context-dependent operationalisation of stages of artistic development within formal educational environments",1,2
184,53,reduction of art to vocational craft training,0,3
185,54,rote reproduction of Western canonical forms,0,1
186,54,hermeneutic circularity in interpreting student creative artefacts,0,2
187,54,subordinating art education to STEM imperatives,0,3
188,54,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,4
189,55,asymmetric power relations embedded in conventional teacher-student assessment contracts,0,1
190,55,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within STEAM,1,2
191,55,conflating Piaget's sensorimotor schema with formal operational art production,0,3
192,56,reification of epistemic structures antithetical to transformative pedagogy,0,1
193,56,enforcing normative aesthetic standards without critique,0,2
194,56,diachronic analysis of institutional constraints on artistic development,0,3
195,56,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,4
196,57,False,1,1
197,57,True,0,2
198,58,False,1,1
199,58,True,0,2
200,59,dispositional alignment between instructional modality and learning ecology,0,1
201,59,epistemic humility in cross-cultural pedagogical knowledge transfer,0,2
202,59,rote reproduction of Western canonical forms,0,3
203,59,mediating the dialectical relationship between self-reliance and the structured articulation of curricular outcomes,1,4
204,60,suppression of indigenous creative impulse,0,1
205,60,enforcing normative aesthetic standards without critique,0,2
206,60,the systematic interrogation and critical repositioning of Piaget within broader disciplinary epistemologies,1,3
207,61,conflating Piaget's sensorimotor schema with formal operational art production,0,1
208,61,enforcing normative aesthetic standards without critique,0,2
209,61,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within cultural preservation,1,3
210,61,subordinating art education to STEM imperatives,0,4
211,62,reduction of art to vocational craft training,0,1
212,62,elimination of cross-disciplinary discourse,0,2
213,62,stimulating deeper critical engagement with integration as a transformative pedagogical force within art education,1,3
214,62,subordinating art education to STEM imperatives,0,4
215,63,circumventing Lowenfeld's developmental stage theory through direct instruction,0,1
216,63,asymmetric power relations embedded in conventional teacher-student assessment contracts,0,2
217,63,the historically situated socio-political contestation surrounding the emergence and institutionalization of teacher-student boundaries,1,3
218,63,treating artistic competence as innate rather than cultivated,0,4
219,64,the systematic interrogation and critical repositioning of performing arts within broader disciplinary epistemologies,1,1
220,64,critical deconstruction of Eurocentric art-historical meta-narratives,0,2
221,64,hierarchical imposition of formal technique,0,3
222,65,elimination of cross-disciplinary discourse,0,1
223,65,privileging mimetic fidelity over expressive authenticity in child art,0,2
224,65,privileging product outcomes over creative process,0,3
225,65,the historically situated socio-political contestation surrounding the emergence and institutionalization of 1969 curriculum conference,1,4
226,66,performative contradiction between espoused learner-centred theory and enacted teacher-centred practice,0,1
227,66,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,2
228,66,elimination of cross-disciplinary discourse,0,3
229,67,performative contradiction between espoused learner-centred theory and enacted teacher-centred practice,0,1
230,67,the historically situated socio-political contestation surrounding the emergence and institutionalization of stages of artistic development,1,2
231,67,privileging mimetic fidelity over expressive authenticity in child art,0,3
232,68,asymmetric power relations embedded in conventional teacher-student assessment contracts,0,1
233,68,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within cultural preservation,1,2
234,68,critical deconstruction of Eurocentric art-historical meta-narratives,0,3
235,69,treating artistic competence as innate rather than cultivated,0,1
236,69,restriction of artistic output to representational forms,0,2
237,69,the systematic interrogation and critical repositioning of interdisciplinary learning within broader disciplinary epistemologies,1,3
238,70,hierarchical imposition of formal technique,0,1
239,70,"the socially constructed, context-dependent operationalisation of teacher-student boundaries within formal educational environments",1,2
240,70,suppression of indigenous creative impulse,0,3
241,70,recursive metacognitive scaffolding within zones of proximal development,0,4
242,71,privileging product outcomes over creative process,0,1
243,71,the historically situated socio-political contestation surrounding the emergence and institutionalization of visual arts,1,2
244,71,circumventing Lowenfeld's developmental stage theory through direct instruction,0,3
245,72,de-emphasizing affective dimensions of learning,0,1
246,72,"the socially constructed, context-dependent operationalisation of 1969 curriculum conference within formal educational environments",1,2
247,72,aesthetic self-expression divorced from social utility,0,3
248,72,applying adult aesthetic criteria to pre-schematic child artwork,0,4
249,73,"the socially constructed, context-dependent operationalisation of National Policy on Education within formal educational environments",1,1
250,73,applying adult aesthetic criteria to pre-schematic child artwork,0,2
251,73,epistemic humility in cross-cultural pedagogical knowledge transfer,0,3
252,73,ontological reduction of creative praxis to instrumental rationality,0,4
253,74,the systematic interrogation and critical repositioning of stages of artistic development within broader disciplinary epistemologies,1,1
254,74,epistemic humility in cross-cultural pedagogical knowledge transfer,0,2
255,74,performative contradiction between espoused learner-centred theory and enacted teacher-centred practice,0,3
256,75,conflating Piaget's sensorimotor schema with formal operational art production,0,1
257,75,stimulating deeper critical engagement with cultural transmission as a transformative pedagogical force within art education,1,2
258,75,applying adult aesthetic criteria to pre-schematic child artwork,0,3
259,75,subordinating art education to STEM imperatives,0,4
260,76,intersubjective negotiation of aesthetic criteria in formative assessment,0,1
261,76,"the socially constructed, context-dependent operationalisation of interdisciplinary learning within formal educational environments",1,2
262,76,conflating Piaget's sensorimotor schema with formal operational art production,0,3
263,77,reification of epistemic structures antithetical to transformative pedagogy,0,1
264,77,teleological conflation of process objectives with terminal competencies,0,2
265,77,intersubjective negotiation of aesthetic criteria in formative assessment,0,3
266,77,"the socially constructed, context-dependent operationalisation of teacher-student boundaries within formal educational environments",1,4
267,78,teleological conflation of process objectives with terminal competencies,0,1
268,78,the systematic interrogation and critical repositioning of visual arts within broader disciplinary epistemologies,1,2
269,78,privileging product outcomes over creative process,0,3
270,79,False,1,1
271,79,True,0,2
272,80,compartmentalization of artistic disciplines,0,1
273,80,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within self-reliance,1,2
274,80,dialectical synthesis of opposing pedagogical epistemologies,0,3
275,81,the historically situated socio-political contestation surrounding the emergence and institutionalization of cognitive growth,1,1
276,81,conflating Piaget's sensorimotor schema with formal operational art production,0,2
277,81,de-emphasizing affective dimensions of learning,0,3
278,82,False,1,1
279,82,True,0,2
280,83,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within STEAM,1,1
281,83,dispositional alignment between instructional modality and learning ecology,0,2
282,83,reproductive rather than transformative conception of the curriculum as knowledge container,0,3
283,84,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within integrity,1,1
284,84,privileging mimetic fidelity over expressive authenticity in child art,0,2
285,84,performative contradiction between espoused learner-centred theory and enacted teacher-centred practice,0,3
286,85,rote reproduction of Western canonical forms,0,1
287,85,asymmetric power relations embedded in conventional teacher-student assessment contracts,0,2
288,85,dialectical synthesis of opposing pedagogical epistemologies,0,3
289,85,the systematic interrogation and critical repositioning of holistic development within broader disciplinary epistemologies,1,4
290,86,aesthetic self-expression divorced from social utility,0,1
291,86,stimulating deeper critical engagement with colonial era as a transformative pedagogical force within art education,1,2
292,86,reification of epistemic structures antithetical to transformative pedagogy,0,3
293,86,axiomatic privileging of convergent over divergent cognitive operations,0,4
294,87,subordinating art education to STEM imperatives,0,1
295,87,circumventing Lowenfeld's developmental stage theory through direct instruction,0,2
296,87,treating artistic competence as innate rather than cultivated,0,3
297,87,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,4
298,88,mediating the dialectical relationship between stages of artistic development and the structured articulation of curricular outcomes,1,1
299,88,reproductive rather than transformative conception of the curriculum as knowledge container,0,2
300,88,teleological conflation of process objectives with terminal competencies,0,3
301,89,False,1,1
302,89,True,0,2
303,90,normative conflation of cultural literacy with disciplinary content mastery,0,1
304,90,de-emphasizing affective dimensions of learning,0,2
305,90,conflating Piaget's sensorimotor schema with formal operational art production,0,3
306,90,the historically situated socio-political contestation surrounding the emergence and institutionalization of language arts,1,4
307,91,privileging mimetic fidelity over expressive authenticity in child art,0,1
308,91,"the socially constructed, context-dependent operationalisation of integrity within formal educational environments",1,2
309,91,epistemic humility in cross-cultural pedagogical knowledge transfer,0,3
310,91,ontological reduction of creative praxis to instrumental rationality,0,4
311,92,semiotic disambiguation of culturally encoded representational schemas,0,1
312,92,hermeneutic circularity in interpreting student creative artefacts,0,2
313,92,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within visual arts,1,3
314,93,teleological conflation of process objectives with terminal competencies,0,1
315,93,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within pre-colonial,1,2
316,93,ontological reduction of creative praxis to instrumental rationality,0,3
317,94,stimulating deeper critical engagement with creative thinking as a transformative pedagogical force within art education,1,1
318,94,recursive metacognitive scaffolding within zones of proximal development,0,2
319,94,privileging mimetic fidelity over expressive authenticity in child art,0,3
320,95,stimulating deeper critical engagement with Lowenfeld as a transformative pedagogical force within art education,1,1
321,95,hierarchical imposition of formal technique,0,2
322,95,ontological reduction of creative praxis to instrumental rationality,0,3
323,96,mediating the dialectical relationship between cultural preservation and the structured articulation of curricular outcomes,1,1
324,96,treating the scribbling stage as evidence of cognitive deficiency,0,2
325,96,ontological reduction of creative praxis to instrumental rationality,0,3
326,96,elimination of cross-disciplinary discourse,0,4
327,97,reduction of art to vocational craft training,0,1
328,97,elimination of cross-disciplinary discourse,0,2
329,97,hermeneutic circularity in interpreting student creative artefacts,0,3
330,97,mediating the dialectical relationship between integration and the structured articulation of curricular outcomes,1,4
331,98,False,1,1
332,98,True,0,2
333,99,hierarchical imposition of formal technique,0,1
334,99,suppression of indigenous creative impulse,0,2
335,99,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within performing arts,1,3
336,99,intersubjective negotiation of aesthetic criteria in formative assessment,0,4
337,100,its capacity to function as an integrative semiotic system mediating between affective and cognitive domains within colonial era,1,1
338,100,ontological reduction of creative praxis to instrumental rationality,0,2
339,100,uncritical adoption of imported pedagogical frameworks without contextual indigenisation,0,3
340,101,False,1,1
341,101,True,0,2
342,102,performative contradiction between espoused learner-centred theory and enacted teacher-centred practice,0,1
343,102,dispositional alignment between instructional modality and learning ecology,0,2
344,102,mediating the dialectical relationship between language and the structured articulation of curricular outcomes,1,3
345,102,exclusion of oral traditions from heritage documentation,0,4
346,103,False,1,1
347,103,True,0,2
348,104,mediating the dialectical relationship between Benin bronzes and the structured articulation of curricular outcomes,1,1
349,104,reducing Nok terracotta analysis to formalist stylistic description,0,2
350,104,treating Igbo-Ukwu metalwork as evidence of external cultural diffusion,0,3
351,105,the systematic interrogation and critical repositioning of secular art within broader disciplinary epistemologies,1,1
352,105,enforcement of singular national cultural narratives,0,2
353,105,conflation of contemporary art with popular entertainment,0,3
354,105,subordinating local aesthetics to international market demands,0,4
355,106,subordinating traditional festival aesthetics to national pageantry imperatives,0,1
356,106,conflation of contemporary art with popular entertainment,0,2
357,106,diachronic analysis of institutional constraints on artistic development,0,3
358,106,the systematic interrogation and critical repositioning of hybridity within broader disciplinary epistemologies,1,4
359,107,False,1,1
360,107,True,0,2
361,108,dispositional alignment between instructional modality and learning ecology,0,1
362,108,asymmetric power relations embedded in conventional teacher-student assessment contracts,0,2
363,108,uncritical perpetuation of hegemonic curricular paradigms,0,3
364,108,mediating the dialectical relationship between dynamic and the structured articulation of curricular outcomes,1,4
365,109,asymmetric power relations embedded in conventional teacher-student assessment contracts,0,1
366,109,the historically situated socio-political contestation surrounding the emergence and institutionalization of norms,1,2
367,109,subordinating local aesthetics to international market demands,0,3
368,110,mediating the dialectical relationship between social structure and the structured articulation of curricular outcomes,1,1
369,110,performative contradiction between espoused learner-centred theory and enacted teacher-centred practice,0,2
370,110,treating Igbo-Ukwu metalwork as evidence of external cultural diffusion,0,3
371,111,restricting art patronage to government-sanctioned bodies,0,1
372,111,normative conflation of cultural literacy with disciplinary content mastery,0,2
373,111,the systematic interrogation and critical repositioning of traditional festivals within broader disciplinary epistemologies,1,3
374,112,False,1,1
375,112,True,0,2
376,113,homogenization of cultural practices under global capitalism,0,1
377,113,dispositional alignment between instructional modality and learning ecology,0,2
378,113,the systematic interrogation and critical repositioning of digital culture within broader disciplinary epistemologies,1,3
379,114,hermeneutic circularity in interpreting student creative artefacts,0,1
380,114,conflating artistic tradition with ethnic essentialism,0,2
381,114,ontological reduction of creative praxis to instrumental rationality,0,3
382,114,the systematic interrogation and critical repositioning of promotion within broader disciplinary epistemologies,1,4
383,115,homogenization of cultural practices under global capitalism,0,1
384,115,"the socially constructed, context-dependent operationalisation of material culture within formal educational environments",1,2
385,115,conflating Benin bronze patronage with contemporary commercialization,0,3
386,115,treating Igbo-Ukwu metalwork as evidence of external cultural diffusion,0,4
387,116,marginalizing diaspora contributions to national art,0,1
388,116,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,2
389,116,teleological conflation of process objectives with terminal competencies,0,3
390,117,conflation of contemporary art with popular entertainment,0,1
391,117,conflating artistic tradition with ethnic essentialism,0,2
392,117,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,3
393,118,phenomenological bracketing of prior aesthetic experience during instruction,0,1
394,118,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,2
395,118,treating cultural hybridity as aesthetic corruption,0,3
396,118,homogenization of cultural practices under global capitalism,0,4
397,119,dispositional alignment between instructional modality and learning ecology,0,1
398,119,uncritical adoption of imported pedagogical frameworks without contextual indigenisation,0,2
399,119,marginalizing diaspora contributions to national art,0,3
400,119,"the socially constructed, context-dependent operationalisation of symbolism within formal educational environments",1,4
401,120,mediating the dialectical relationship between digital culture and the structured articulation of curricular outcomes,1,1
402,120,dialectical synthesis of opposing pedagogical epistemologies,0,2
403,120,uncritical adoption of imported pedagogical frameworks without contextual indigenisation,0,3
404,121,stimulating deeper critical engagement with promotion as a transformative pedagogical force within art education,1,1
405,121,reproductive rather than transformative conception of the curriculum as knowledge container,0,2
406,121,uncritical adoption of imported pedagogical frameworks without contextual indigenisation,0,3
407,122,semiotic disambiguation of culturally encoded representational schemas,0,1
408,122,teleological conflation of process objectives with terminal competencies,0,2
409,122,"the socially constructed, context-dependent operationalisation of dynamic within formal educational environments",1,3
410,122,axiomatic privileging of convergent over divergent cognitive operations,0,4
411,123,elimination of folk art traditions from formal curricula,0,1
412,123,subordinating traditional festival aesthetics to national pageantry imperatives,0,2
413,123,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,3
414,123,uncritical perpetuation of hegemonic curricular paradigms,0,4
415,124,teleological conflation of process objectives with terminal competencies,0,1
416,124,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,2
417,124,epistemic humility in cross-cultural pedagogical knowledge transfer,0,3
418,124,asymmetric power relations embedded in conventional teacher-student assessment contracts,0,4
419,125,stimulating deeper critical engagement with Nok art as a transformative pedagogical force within art education,1,1
420,125,dialectical synthesis of opposing pedagogical epistemologies,0,2
421,125,conflation of contemporary art with popular entertainment,0,3
422,126,stimulating deeper critical engagement with secular art as a transformative pedagogical force within art education,1,1
423,126,ontological reduction of creative praxis to instrumental rationality,0,2
424,126,dispositional alignment between instructional modality and learning ecology,0,3
425,126,treating Igbo-Ukwu metalwork as evidence of external cultural diffusion,0,4
426,127,semiotic disambiguation of culturally encoded representational schemas,0,1
427,127,denial of syncretism as a legitimate cultural process,0,2
428,127,dialectical synthesis of opposing pedagogical epistemologies,0,3
429,127,the historically situated socio-political contestation surrounding the emergence and institutionalization of cultural imperialism,1,4
430,128,"Elliot Eisner, whose advocacy for arts-based epistemologies and aesthetic literacy fundamentally reoriented curriculum theory",1,1
431,128,dialectical synthesis of opposing pedagogical epistemologies,0,2
432,128,reproductive rather than transformative conception of the curriculum as knowledge container,0,3
433,129,False,1,1
434,129,True,0,2
435,130,False,1,1
436,130,True,0,2
437,131,the historically situated socio-political contestation surrounding the emergence and institutionalization of social structure,1,1
438,131,treating cultural hybridity as aesthetic corruption,0,2
439,131,privileging Western art history over indigenous visual culture,0,3
440,132,subordinating traditional festival aesthetics to national pageantry imperatives,0,1
441,132,reducing Nok terracotta analysis to formalist stylistic description,0,2
442,132,restricting art patronage to government-sanctioned bodies,0,3
443,132,the systematic interrogation and critical repositioning of Nok art within broader disciplinary epistemologies,1,4
444,133,epistemic humility in cross-cultural pedagogical knowledge transfer,0,1
445,133,the systematic interrogation and critical repositioning of symbolism within broader disciplinary epistemologies,1,2
446,133,intersubjective negotiation of aesthetic criteria in formative assessment,0,3
